rang_vaccinal,date_debut_semaine,nb
1,2021-01-18,379668
2,2021-01-18,877
1,2021-01-25,340611
2,2021-01-25,30884
1,2021-02-01,263899
2,2021-02-01,111789
1,2021-02-08,252630
2,2021-02-08,171142
1,2021-02-15,175300
2,2021-02-15,348846
1,2021-02-22,202473
2,2021-02-22,327243
1,2021-03-01,522398
2,2021-03-01,260403
1,2021-03-08,592035
2,2021-03-08,226909
1,2021-03-15,737087
2,2021-03-15,141453
1,2021-03-22,661794
2,2021-03-22,177885
1,2021-03-29,247567
2,2021-03-29,409321
1,2021-04-05,98034
2,2021-04-05,513321
1,2021-04-12,53728
2,2021-04-12,723942
1,2021-04-19,27518
2,2021-04-19,593646
